listing_id,number,score
14190413,162,4.66
14192979,4,4.25
14202693,11,4.82
14207045,1,5.0
14208220,2,3.5
14214586,21,4.86
14233196,56,4.93
14234436,3,4.5
14256959,260,4.96
14258074,6,4.17
14289228,23,4.91
14313639,46,4.73
14316826,29,4.96
14330376,2,5.0
14331209,118,4.79
14332497,151,4.73
14339083,129,4.97
14348340,2,4.5
14351685,2,4.5
14357339,117,4.8
14363628,12,4.92
14367732,407,4.71
14370506,245,4.85
14382050,22,4.95
14414156,23,5.0
14422707,380,4.81
14436901,37,4.84
14438614,1,5.0
14466747,9,4.56
14467409,166,4.69
14493319,1,5.0
14498536,24,4.92
14510597,6,4.4
14528789,14,4.79
14530358,3,4.5
14541302,5,5.0
14541318,7,4.71
14544503,10,4.88
14551512,16,4.73
14553228,16,5.0
14554194,89,4.83
14561036,34,4.91
14570254,9,5.0
14580982,4,3.5
14585984,14,5.0
14597392,2,5.0
14605077,217,4.84
14607312,336,4.72
14624814,6,4.5
14627079,4,5.0
14634841,44,4.95
14645775,9,4.22
14664880,11,4.67
14669504,39,4.95
14702552,17,4.06
14702691,28,4.75
14706201,7,4.33
14711925,58,4.89
14717971,96,4.75
14726645,12,4.45
14727905,96,4.51
14735887,66,4.98
14737463,148,4.86
14742500,238,4.86
14745699,55,4.63
14755491,18,4.72
14770396,164,4.27
14785631,107,4.75
14798540,181,4.82
14813014,4,5.0
14820186,35,4.94
14824418,22,5.0
14838168,69,4.37
14839700,409,4.78
14845900,4,5.0
14857131,18,4.83
14857381,74,4.73
14879971,38,5.0
14898821,132,4.82
14904122,5,5.0
14907513,2,4.5
14932890,33,4.19
14934635,17,5.0
14938508,157,4.61
14941430,725,4.81
14943168,55,4.84
14957692,7,3.14
14957777,33,4.27
14958082,16,4.31
14960022,9,3.89
14963529,171,4.95
14972466,6,4.0
14979329,82,4.47
14998533,179,4.83
15000162,1,5.0
15014593,168,4.76
15022396,3,5.0
15030483,11,5.0
15034757,58,4.84
15040997,11,4.91
15041289,15,4.77
15041305,61,4.6
15054597,18,4.89
15054939,52,4.67
15055615,22,4.5
15063921,227,4.96
15069913,22,4.86
15112889,6,4.83
15119596,35,4.86
15119820,69,4.94
15119965,51,5.0
15128996,38,4.75
15137237,302,4.87
15155552,148,4.88
15158289,3,4.0
15161206,250,4.98
15162862,43,4.47
15169715,3,4.67
15179261,201,4.49
15197756,198,4.76
15204058,164,4.6
15215993,74,4.8
15217206,140,4.93
15219928,120,4.79
15230072,8,4.0
15230263,20,5.0
15232922,174,4.87
15242851,7,5.0
15253032,17,4.71
15261952,282,4.91
15270528,2,5.0
15293223,3,5.0
15297080,358,4.73
15339244,2,5.0
15342454,8,4.13
15410846,222,4.33
15416221,204,4.62
15435282,76,4.83
15443280,8,4.43
15451476,140,4.84
15452114,2,5.0
15466582,8,5.0
15467987,56,4.4
15472365,3,4.0
15480160,107,4.22
15482095,4,5.0
15506225,38,4.68
15517141,82,4.33
15520068,48,4.88
15556545,2,5.0
15606359,128,4.81
15625970,46,4.85
